order_id,delivered_time,packing_time
2110,2025-06-24 08:24:00,2025-06-24 08:07:00
2280,2025-06-24 09:15:20,2025-06-24 08:56:40
2321,2025-06-24 10:01:00,2025-06-24 09:42:40
2418,2025-06-24 10:50:00,2025-06-24 10:33:00
2480,2025-06-24 11:39:00,2025-06-24 11:22:00
2663,2025-06-24 12:24:40,2025-06-24 12:07:20
2218,2025-06-24 08:33:40,2025-06-24 08:18:20
2653,2025-06-24 09:22:40,2025-06-24 09:05:40
2709,2025-06-24 10:05:20,2025-06-24 09:50:00
2788,2025-06-24 10:55:00,2025-06-24 10:36:40
2332,2025-06-24 08:47:00,2025-06-24 08:32:00
2500,2025-06-24 09:34:20,2025-06-24 09:17:40
2692,2025-06-24 10:17:00,2025-06-24 10:02:40
2827,2025-06-24 11:01:00,2025-06-24 10:45:00
2863,2025-06-24 11:42:20,2025-06-24 11:27:40
2458,2025-06-24 08:37:40,2025-06-24 08:23:20
2565,2025-06-24 09:19:00,2025-06-24 09:04:20
2251,2025-06-24 08:44:00,2025-06-24 08:29:00
2373,2025-06-24 09:24:40,2025-06-24 09:08:20
2572,2025-06-24 10:06:00,2025-06-24 09:51:20
2602,2025-06-24 10:49:00,2025-06-24 10:33:00
2617,2025-06-24 11:29:00,2025-06-24 11:14:00
2618,2025-06-24 12:10:40,2025-06-24 11:55:20
2738,2025-06-24 12:55:00,2025-06-24 12:40:20
2758,2025-06-24 13:43:40,2025-06-24 13:26:20
2250,2025-06-24 08:36:00,2025-06-24 08:20:00
2298,2025-06-24 09:20:40,2025-06-24 09:04:20
2346,2025-06-24 10:07:00,2025-06-24 09:49:20
2603,2025-06-24 10:52:40,2025-06-24 10:36:20
2751,2025-06-24 11:38:20,2025-06-24 11:21:00
2870,2025-06-24 12:26:40,2025-06-24 12:08:00
2323,2025-06-24 08:45:00,2025-06-24 08:26:00
2482,2025-06-24 09:32:20,2025-06-24 09:16:40
2595,2025-06-24 10:23:20,2025-06-24 10:04:20
2766,2025-06-24 11:07:40,2025-06-24 10:52:00
2652,2025-06-24 08:41:00,2025-06-24 08:26:00
2128,2025-06-24 08:10:00,
2304,2025-06-24 08:50:00,2025-06-24 08:36:00
2381,2025-06-24 09:36:20,2025-06-24 09:19:40
2427,2025-06-24 10:16:40,2025-06-24 10:02:00
2446,2025-06-24 11:06:40,2025-06-24 10:47:40
2486,2025-06-24 11:55:20,2025-06-24 11:40:00
