product_id,store_id,avg_cost,valid_from,valid_to
1,1,2.54,1/08/2025,
2,1,3.19,1/08/2025,
3,1,4.07,1/08/2025,
4,1,1.38,1/08/2025,
5,1,3.86,1/08/2025,
6,1,10.2,1/08/2025,
7,1,4.69,1/08/2025,
8,1,9.54,1/08/2025,
9,1,2.74,1/08/2025,
10,1,5.84,1/08/2025,
11,1,0.9,1/08/2025,
12,1,2.33,1/08/2025,
13,1,2.87,1/08/2025,
14,1,8.64,1/08/2025,
15,1,0.97,1/08/2025,
16,1,4.18,1/08/2025,
17,1,9.94,1/08/2025,
18,1,4.14,1/08/2025,
19,1,10.37,1/08/2025,
20,1,0.64,1/08/2025,
21,1,7.36,1/08/2025,
22,1,6.61,1/08/2025,
23,1,0.69,1/08/2025,
24,1,3.13,1/08/2025,
25,1,5.64,1/08/2025,
26,1,5.92,1/08/2025,
27,1,1.16,1/08/2025,
28,1,4.56,1/08/2025,
29,1,5.11,1/08/2025,
30,1,5.68,1/08/2025,
31,1,6.72,1/08/2025,
32,1,4.32,1/08/2025,
33,1,9.96,1/08/2025,
34,1,2.76,1/08/2025,
35,1,2.77,1/08/2025,
36,1,1.6,1/08/2025,
37,1,3.65,1/08/2025,
38,1,7.22,1/08/2025,
39,1,3.86,1/08/2025,
40,1,2.85,1/08/2025,
41,1,4.74,1/08/2025,
42,1,0.36,1/08/2025,
43,1,4.44,1/08/2025,
44,1,3.98,1/08/2025,
45,1,7.04,1/08/2025,
46,1,3.21,1/08/2025,
47,1,8.47,1/08/2025,
48,1,2.93,1/08/2025,
49,1,7.21,1/08/2025,
50,1,8.23,1/08/2025,
51,1,0.59,1/08/2025,
52,1,3.44,1/08/2025,
53,1,7.17,1/08/2025,
54,1,7.39,1/08/2025,
55,1,1.73,1/08/2025,
56,1,3.41,1/08/2025,
57,1,1.2,1/08/2025,
58,1,8.68,1/08/2025,
59,1,7.73,1/08/2025,
60,1,0.38,1/08/2025,
61,1,2.77,1/08/2025,
62,1,4.22,1/08/2025,
63,1,6.86,1/08/2025,
64,1,1.03,1/08/2025,
65,1,3.84,1/08/2025,
66,1,6.53,1/08/2025,
67,1,5.96,1/08/2025,
68,1,4.77,1/08/2025,
69,1,8.19,1/08/2025,
70,1,1.38,1/08/2025,
71,1,3.89,1/08/2025,
72,1,1.5,1/08/2025,
1,2,2.54,1/08/2025,
2,2,3.19,1/08/2025,
3,2,4.07,1/08/2025,
4,2,1.38,1/08/2025,
5,2,3.86,1/08/2025,
6,2,10.2,1/08/2025,
